Title: test opamp tran
Date: Sun Aug 31 04:04:08  2025
Command: ngspice-44.2, Build Mon Jun 16 11:10:08 UTC 2025
Plotname: Transient Analysis
Flags: real
No. Variables: 3
No. Points: 469
Variables:
	0	time	time
	1	v(vout3)	voltage
	2	v(visr)	voltage
Values:
 0	0.000000000000000e+00
	2.999599756237785e-01
	3.000000000000000e-01

 1	1.000000000000000e-08
	2.999599754677124e-01
	3.000000000000000e-01

 2	2.000000000000000e-08
	2.999599753884407e-01
	3.000000000000000e-01

 3	4.000000000000000e-08
	2.999599753085586e-01
	3.000000000000000e-01

 4	8.000000000000000e-08
	2.999599754788563e-01
	3.000000000000000e-01

 5	1.600000000000000e-07
	2.999599754117350e-01
	3.000000000000000e-01

 6	3.200000000000000e-07
	2.999599754986981e-01
	3.000000000000000e-01

 7	6.400000000000000e-07
	2.999599760446574e-01
	3.000000000000000e-01

 8	1.000000000000000e-06
	2.999599753970221e-01
	3.000000000000000e-01

 9	1.000000100000000e-06
	3.005801446467219e-01
	3.199999999878466e-01

 10	1.000000300000000e-06
	3.018322438539408e-01
	3.600000000058914e-01

 11	1.000000700000000e-06
	3.045370968296180e-01
	4.399999999996294e-01

 12	1.000001000000000e-06
	3.066728215048575e-01
	5.000000000000000e-01

 13	1.000001080000000e-06
	3.067957913851723e-01
	5.000000000000000e-01

 14	1.000001240000000e-06
	3.070010322715420e-01
	5.000000000000000e-01

 15	1.000001560000000e-06
	3.071819680912225e-01
	5.000000000000000e-01

 16	1.000002200000000e-06
	3.072298183339172e-01
	5.000000000000000e-01

 17	1.000003480000000e-06
	3.072167958431102e-01
	5.000000000000000e-01

 18	1.000006040000000e-06
	3.072124303761468e-01
	5.000000000000000e-01

 19	1.000011160000000e-06
	3.072074060236536e-01
	5.000000000000000e-01

 20	1.000021400000001e-06
	3.071912907943287e-01
	5.000000000000000e-01

 21	1.000041880000001e-06
	3.071662196941979e-01
	5.000000000000000e-01

 22	1.000082840000002e-06
	3.071094328643484e-01
	5.000000000000000e-01

 23	1.000164760000004e-06
	3.070060355919677e-01
	5.000000000000000e-01

 24	1.000328600000009e-06
	3.068018383614768e-01
	5.000000000000000e-01

 25	1.000656280000018e-06
	3.064369052003515e-01
	5.000000000000000e-01

 26	1.001311640000036e-06
	3.058122587821670e-01
	5.000000000000000e-01

 27	1.002622360000072e-06
	3.048603988774055e-01
	5.000000000000000e-01

 28	1.005243800000145e-06
	3.034551353081472e-01
	5.000000000000000e-01

 29	1.010486680000290e-06
	3.013151269983938e-01
	5.000000000000000e-01

 30	1.020972440000579e-06
	3.004024529835869e-01
	5.000000000000000e-01
